registry_row_id,image_id,image_size,width,height,channels,dtype,color_space,corpus,split,semantic_label,source,source_provider,preprocessing,license_note,generated_relative_path,standard_experiment_size,timing_size,primary_panel,ensemble_panel,secondary_panel,timing_panel,pixel_sha256,file_sha256,file_size_bytes
syn_black@96x96,syn_black,96,96,96,3,uint8,nonlinear sRGB,synthetic,development,constant-black,deterministic repository generator,qsa_benchmark,analytic deterministic generation at each requested size,CC0-1.0 generated benchmark probe,data/generated/96x96/synthetic/syn_black_96x96.png,false,true,false,false,false,false,0a182a88ffcf20dcc892515a01db9af1a707814b982b9c21e1d9b3b4b203ceef,425716d74585d2ec1f04a5604c414be8180d594f6cca6a163ceada4d963df32d,107
syn_black@256x256,syn_black,256,256,256,3,uint8,nonlinear sRGB,synthetic,development,constant-black,deterministic repository generator,qsa_benchmark,analytic deterministic generation at each requested size,CC0-1.0 generated benchmark probe,data/generated/256x256/synthetic/syn_black_256x256.png,true,true,false,false,false,false,3381de4ca9f3a477f25989dfc8b744e7916046b7aa369f61a9a2f7dc0963ec9e,54e11226d37944f410956e9a2918ad4bb090485f1c9f5d2150172e06b291ff5c,270
syn_black@512x512,syn_black,512,512,512,3,uint8,nonlinear sRGB,synthetic,development,constant-black,deterministic repository generator,qsa_benchmark,analytic deterministic generation at each requested size,CC0-1.0 generated benchmark probe,data/generated/512x512/synthetic/syn_black_512x512.png,true,true,false,false,false,false,599c1bb5ffd4b87229a81958f33f1060821cd01cd7aa7ccafa0d862f4522f3f6,57b5e40e68e97c62837b9d0a5a8f7aac22471c1633897f9bcf4fa62864ecc974,842
syn_white@96x96,syn_white,96,96,96,3,uint8,nonlinear sRGB,synthetic,development,constant-white,deterministic repository generator,qsa_benchmark,analytic deterministic generation at each requested size,CC0-1.0 generated benchmark probe,data/generated/96x96/synthetic/syn_white_96x96.png,false,true,false,false,false,false,f3ac971cf0d3cf59cb1e194ab3acd9ea1278894dbd47d517f162fab6acd6cfc9,1a5cb424b6293a0efd1ebdaecc66828d18a0d0fa7f2ed17889971fb788342be3,196
syn_white@256x256,syn_white,256,256,256,3,uint8,nonlinear sRGB,synthetic,development,constant-white,deterministic repository generator,qsa_benchmark,analytic deterministic generation at each requested size,CC0-1.0 generated benchmark probe,data/generated/256x256/synthetic/syn_white_256x256.png,true,true,false,false,false,false,c1f7d702a80ae5e7dc52d62ef2577cbbb25c045d6dda3a49a872130518f48cc0,3719e9b2de8d3f39c290d3cf434ac92c4f24d9963fea65d1bd30f5868e4322d4,564
syn_white@512x512,syn_white,512,512,512,3,uint8,nonlinear sRGB,synthetic,development,constant-white,deterministic repository generator,qsa_benchmark,analytic deterministic generation at each requested size,CC0-1.0 generated benchmark probe,data/generated/512x512/synthetic/syn_white_512x512.png,true,true,false,false,false,false,902ab44f9b6b07c34a29958b325726ba7f6d506403335cf95a2af25e0ca1ad00,dcd927b55e091e2eb0d779d6e8d8fa669e6b8c42a7cd76fa300a1413f1568ad6,1489
syn_gray@96x96,syn_gray,96,96,96,3,uint8,nonlinear sRGB,synthetic,development,constant-gray,deterministic repository generator,qsa_benchmark,analytic deterministic generation at each requested size,CC0-1.0 generated benchmark probe,data/generated/96x96/synthetic/syn_gray_96x96.png,false,true,false,false,false,false,ae7ae86b9c0c33d0e2daa3cdad5c8fcf16d8da7e4109233330a20c1680140e93,ea5f1986e96a7766552db6cdf511e4e9ae89dffba22d3200ee62d8104b5277e6,196
syn_gray@256x256,syn_gray,256,256,256,3,uint8,nonlinear sRGB,synthetic,development,constant-gray,deterministic repository generator,qsa_benchmark,analytic deterministic generation at each requested size,CC0-1.0 generated benchmark probe,data/generated/256x256/synthetic/syn_gray_256x256.png,true,true,false,false,false,false,d5039cbfb3fb9a915614802a721cba155442563d36a6bbf73e582e65f5290890,5adaeaf703b90005f2df18e34d98e5db61e5fb569d8b0bd77b2a51db140a3851,564
syn_gray@512x512,syn_gray,512,512,512,3,uint8,nonlinear sRGB,synthetic,development,constant-gray,deterministic repository generator,qsa_benchmark,analytic deterministic generation at each requested size,CC0-1.0 generated benchmark probe,data/generated/512x512/synthetic/syn_gray_512x512.png,true,true,false,false,false,false,060b63dbef085d2f8b890afbee9b12936f7ede1ef78155b085cd8ae31700e66b,8b3d7495dbe9e83b49ed6ee7f34e1df5d0264429a5e3d4e3eebeddca02bfd3cf,1489
syn_red@96x96,syn_red,96,96,96,3,uint8,nonlinear sRGB,synthetic,development,single-channel-constant,deterministic repository generator,qsa_benchmark,analytic deterministic generation at each requested size,CC0-1.0 generated benchmark probe,data/generated/96x96/synthetic/syn_red_96x96.png,false,true,false,false,false,false,e25f5e1715af95db3d79493c270023076d4e506154a3c32c486bf93846ab6584,c22aebe55eadc2310a089de871ff9f478fcc63efbf6e128218c92be5f41c0edd,196
syn_red@256x256,syn_red,256,256,256,3,uint8,nonlinear sRGB,synthetic,development,single-channel-constant,deterministic repository generator,qsa_benchmark,analytic deterministic generation at each requested size,CC0-1.0 generated benchmark probe,data/generated/256x256/synthetic/syn_red_256x256.png,true,true,false,false,false,false,f7ca1d41ffc144040a9aae7f9040487fc19f610e69cf068e534b7ce32a6ab8dd,2cfddad83df71239c84b1159d9309753430dfbdbb396a97b58e8f8c36af07f04,565
syn_red@512x512,syn_red,512,512,512,3,uint8,nonlinear sRGB,synthetic,development,single-channel-constant,deterministic repository generator,qsa_benchmark,analytic deterministic generation at each requested size,CC0-1.0 generated benchmark probe,data/generated/512x512/synthetic/syn_red_512x512.png,true,true,false,false,false,false,a0804bef7c1150500551d2b75ea589186ce9e23eebbfb6d82b1b10c7a5a83277,52baa85e09e5ddbeff39e9b439ba0468b70f01707dd0e41aa72cccabad79066c,1489
syn_ramp_h@96x96,syn_ramp_h,96,96,96,3,uint8,nonlinear sRGB,synthetic,development,horizontal-ramp,deterministic repository generator,qsa_benchmark,analytic deterministic generation at each requested size,CC0-1.0 generated benchmark probe,data/generated/96x96/synthetic/syn_ramp_h_96x96.png,false,true,true,false,true,false,6ed76714b436f24f52ee5f815a10b385ef95f5fa936c635a8a1ede22693efa37,64c07fe22e792712eb7298b8d2e657626e0ecb387421a0bd3d99148782362e2a,211
syn_ramp_h@256x256,syn_ramp_h,256,256,256,3,uint8,nonlinear sRGB,synthetic,development,horizontal-ramp,deterministic repository generator,qsa_benchmark,analytic deterministic generation at each requested size,CC0-1.0 generated benchmark probe,data/generated/256x256/synthetic/syn_ramp_h_256x256.png,true,true,true,false,true,false,fb5f204ed84efa48484d193e260fcb573938c9153d852300b8f0cdf58cc2b85b,1caefe76a7b7957ba34cd2a015e9bff05cc3f13e4b69f5b2d3d12603acf43a2c,566
syn_ramp_h@512x512,syn_ramp_h,512,512,512,3,uint8,nonlinear sRGB,synthetic,development,horizontal-ramp,deterministic repository generator,qsa_benchmark,analytic deterministic generation at each requested size,CC0-1.0 generated benchmark probe,data/generated/512x512/synthetic/syn_ramp_h_512x512.png,true,true,true,false,true,false,89cd181a02f2ff24ecc56ef551e2958a603e0096ab94e3e2189e9118e94d11a0,9d31153aab4082870e1311a3bd1603fe3c6ebdad394748d17bfa1a5da6ff5027,1495
syn_ramp_v@96x96,syn_ramp_v,96,96,96,3,uint8,nonlinear sRGB,synthetic,development,vertical-ramp,deterministic repository generator,qsa_benchmark,analytic deterministic generation at each requested size,CC0-1.0 generated benchmark probe,data/generated/96x96/synthetic/syn_ramp_v_96x96.png,false,true,true,false,true,false,5eda24621de6d801f8297fb54075c3d47e5a3587e6d8fd1cace05dfc2b83f4a1,36e58b02fb1f253d58ed5fa930ee0a5c92b6a82ec36337f401f0e98992aab225,232
syn_ramp_v@256x256,syn_ramp_v,256,256,256,3,uint8,nonlinear sRGB,synthetic,development,vertical-ramp,deterministic repository generator,qsa_benchmark,analytic deterministic generation at each requested size,CC0-1.0 generated benchmark probe,data/generated/256x256/synthetic/syn_ramp_v_256x256.png,true,true,true,false,true,false,2961137ded7508136fe713238cd32724903c17a8190fb0588bd762b2532a262c,7db4bffebfc3dc2706afecfd37c85c97b604ac8d844de518339ff98dc812c129,573
syn_ramp_v@512x512,syn_ramp_v,512,512,512,3,uint8,nonlinear sRGB,synthetic,development,vertical-ramp,deterministic repository generator,qsa_benchmark,analytic deterministic generation at each requested size,CC0-1.0 generated benchmark probe,data/generated/512x512/synthetic/syn_ramp_v_512x512.png,true,true,true,false,true,false,a0234e5f171a83ebe8e30fadbb859c58fb5094fbeb11e9ef44ed8e343158ddf5,baf493ed0b06061e1da6e1f01712a99ff39553390041ef6dbdf068371c382157,1561
