case_id,case_ordinal,method_ordinal,method_mutation_ordinal,method_id,authenticated,mutation_id,target_component,mutation_class,parser_level,expected_outcome,expected_accepted,expected_plaintext_changed,failure_stage,expected_exception_class,expected_parser_code,base_input_sha256,donor_input_sha256,context_sha256,original_object_sha256,mutated_object_sha256,original_object_bytes,mutated_object_bytes,byte_difference_count,nonce_bytes,public_payload_bytes,protected_payload_bytes,tag_bytes,byte_distinct
AM001_B01_aes_gcm_nonce_bit_flip,1,1,1,B01_aes_gcm,true,nonce_bit_flip,nonce,component_bit_flip,false,integrity_reject,false,NA,integrity_or_release,InvalidTag,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,cd56b4cc59be53daea0ae8ddb08f233311a48122bcd75412157921d3a6572839,2fdcea82e35e5f8a39c074ca184d094605ae33c150693b1af5271e0fb858268a,be60fbc02badc0eaedf3f49896e448bd08c3634a717dd0273b06040bd9241423,1151,1151,1,12,0,768,16,true
AM002_B01_aes_gcm_protected_payload_bit_flip,2,1,2,B01_aes_gcm,true,protected_payload_bit_flip,protected_payload,component_bit_flip,false,integrity_reject,false,NA,integrity_or_release,InvalidTag,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,cd56b4cc59be53daea0ae8ddb08f233311a48122bcd75412157921d3a6572839,2fdcea82e35e5f8a39c074ca184d094605ae33c150693b1af5271e0fb858268a,4a2c73e86b1aaf0f2cc8160896c0b93416c843616e25143e96c952b092240c6e,1151,1151,1,12,0,768,16,true
AM003_B01_aes_gcm_tag_bit_flip,3,1,3,B01_aes_gcm,true,tag_bit_flip,tag,component_bit_flip,false,integrity_reject,false,NA,integrity_or_release,InvalidTag,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,cd56b4cc59be53daea0ae8ddb08f233311a48122bcd75412157921d3a6572839,2fdcea82e35e5f8a39c074ca184d094605ae33c150693b1af5271e0fb858268a,7a8ad5675b6487cc33cc06dc3bcb65aee53eda7cbe5c28f5a8a45538f48e3fb6,1151,1151,1,12,0,768,16,true
AM004_B01_aes_gcm_descriptor_mutation,4,1,4,B01_aes_gcm,true,descriptor_mutation,descriptor,header_semantic_mutation,false,integrity_reject,false,NA,integrity_or_release,InvalidTag,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,cd56b4cc59be53daea0ae8ddb08f233311a48122bcd75412157921d3a6572839,2fdcea82e35e5f8a39c074ca184d094605ae33c150693b1af5271e0fb858268a,6a307a40cfabf58bbeba9ec1c7107847ec5c10877ec29530dbab02584a6f9ad4,1151,1155,1089,12,0,768,16,true
AM005_B01_aes_gcm_metadata_mutation,5,1,5,B01_aes_gcm,true,metadata_mutation,metadata,header_semantic_mutation,false,integrity_reject,false,NA,integrity_or_release,InvalidTag,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,cd56b4cc59be53daea0ae8ddb08f233311a48122bcd75412157921d3a6572839,2fdcea82e35e5f8a39c074ca184d094605ae33c150693b1af5271e0fb858268a,b065d3976717999ba0c8fd3ddda30db77c8816eca53b1da415c6e78037ddff46,1151,1151,1,12,0,768,16,true
AM006_B01_aes_gcm_protected_payload_splice,6,1,6,B01_aes_gcm,true,protected_payload_splice,protected_payload,same_length_splice,false,integrity_reject,false,NA,integrity_or_release,InvalidTag,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,cd56b4cc59be53daea0ae8ddb08f233311a48122bcd75412157921d3a6572839,2fdcea82e35e5f8a39c074ca184d094605ae33c150693b1af5271e0fb858268a,8e2d419e0bffac173875c4a263be596e509ec8f0565670d3a0b539b6513c6102,1151,1151,766,12,0,768,16,true
AM007_B01_aes_gcm_trailing_byte_append,7,1,7,B01_aes_gcm,true,trailing_byte_append,framing,noncanonical_length,true,parser_reject,false,NA,parser,EnvelopeFormatError,envelope_length_mismatch,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,cd56b4cc59be53daea0ae8ddb08f233311a48122bcd75412157921d3a6572839,2fdcea82e35e5f8a39c074ca184d094605ae33c150693b1af5271e0fb858268a,07cf80ad7379631bae83701afb96f4196b524d236da3315ab1235a7c3442546f,1151,1152,1,12,0,768,16,true
AM008_B01_aes_gcm_one_byte_truncation,8,1,8,B01_aes_gcm,true,one_byte_truncation,framing,noncanonical_length,true,parser_reject,false,NA,parser,EnvelopeFormatError,envelope_length_mismatch,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,cd56b4cc59be53daea0ae8ddb08f233311a48122bcd75412157921d3a6572839,2fdcea82e35e5f8a39c074ca184d094605ae33c150693b1af5271e0fb858268a,ae07898f685c2053efe8ead4c45427f10f93ec2e6b633bf5b47dc70a9cb58154,1151,1150,1,12,0,768,16,true
AM009_B02_chacha20_poly1305_nonce_bit_flip,9,2,1,B02_chacha20_poly1305,true,nonce_bit_flip,nonce,component_bit_flip,false,integrity_reject,false,NA,integrity_or_release,InvalidTag,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,39bda91d13f67f438bde482ed41938028fc68db6f857d988872932aca69b25b2,bcb92578ef9653c35f4ba229429294dceeaa513c1296235edbb7632acb320e42,99fdc5457793a950422749e9c99e97813703215d261db268b2142e03045603c0,1167,1167,1,12,0,768,16,true
AM010_B02_chacha20_poly1305_protected_payload_bit_flip,10,2,2,B02_chacha20_poly1305,true,protected_payload_bit_flip,protected_payload,component_bit_flip,false,integrity_reject,false,NA,integrity_or_release,InvalidTag,,418a11105ae874ab487c3e1a2c67a7f14b8a9ce592657c63b8ffcadfdbf708c6,d7691213071b74bd37cfcc3359e0e540936cc0a06dea37cbcd5e7b809dabab94,39bda91d13f67f438bde482ed41938028fc68db6f857d988872932aca69b25b2,bcb92578ef9653c35f4ba229429294dceeaa513c1296235edbb7632acb320e42,d4c11ca429c8781b3ba732635c62ab1d280588770eaa22badea481739dacd8f0,1167,1167,1,12,0,768,16,true
